Feature,Mean |SHAP|,Std |SHAP|
flow_balance,0.5191141529130308,0.6382960559939463
ct_dst_ltm,0.387928060635809,0.7169454886899879
ct_dst_src_ltm,0.3195807455972847,0.41536128938989003
proto_udp,0.25428054596794697,0.4857273584695276
service_-,0.21206447239988083,0.23114118296127753
state_FIN,0.19530999426654538,0.25687497027932066
state_SF,0.17948512321119695,0.33136225241558237
state_S0,0.1609705720237134,0.34410802103520505
proto_tcp,0.1418962581307224,0.1893501841858541
service_http,0.13869312111094584,0.23353512667105558
state_INT,0.0816761967818289,0.13607951512656832
ct_srv_src,0.07601521699479273,0.2524052163751602
service_ecr_i,0.07029982374571199,0.21669424431117076
state_REJ,0.05063574549476796,0.19252546481990815
ct_srv_dst,0.041786157922200216,0.10523366363748582
host_interaction,0.037525264197608384,0.19110715028994968
connection_density,0.03699767334617227,0.09471955425755833
state_REQ,0.03493112926618926,0.17692249457118134
service_smtp,0.03260571997800368,0.1500452655698082
state_CON,0.027169953354350847,0.07975145498846468
service_pop_3,0.022406060506483638,0.10249962662660919
service_other,0.02192707708710206,0.14165190185201892
service_dns,0.021478267097090088,0.09416927112293653
service_private,0.0206987123222446,0.09473752751837779
service_diversity,0.01971188186147588,0.05583165278750332
service_ftp-data,0.019019801617546458,0.15437492034914158
proto_icmp,0.01888522986979897,0.06973411369746084
service_domain_u,0.018884237457969178,0.1342256489072337
service_telnet,0.01873066439215219,0.05893753440206546
service_uucp,0.016759492157498324,0.06068622005162687
service_pop3,0.014406127721286202,0.043975973398735844
proto_unas,0.013326863232472223,0.04264514374573839
service_ftp,0.012547125628011066,0.06266670812693874
state_RSTR,0.01251206053077547,0.12414476861464296
state_RSTO,0.012496665360009542,0.05394674329053751
service_ssh,0.012376525674295598,0.047311997798783575
sbytes,0.011943524162081802,0.04460221151010255
sloss,0.011639746371120807,0.04616501849642142
service_sunrpc,0.01115583855411599,0.04186863397441164
total_bytes,0.010979242653400287,0.04051975720819516
service_nnsp,0.01002512761501055,0.04220883461120012
dloss,0.00927745405034657,0.037736685883230536
state_S1,0.009192262597146734,0.12967282151370677
is_ftp_login,0.009037245387599042,0.03430212109532869
proto_idpr-cmtp,0.00892738348575421,0.03510774536450025
packet_rate,0.008370939464240756,0.03463479210905297
service_ftp_data,0.007412734119083171,0.10456948310536827
dur,0.006243741282162182,0.05348706626568301
dbytes,0.0055717902302339405,0.03249108889615243
service_iso_tsap,0.005052774725130391,0.025702587177281785
service_imap4,0.0024764221960199427,0.034934234093437745
service_sql_net,0.0013822130512159273,0.019498514581151483
proto_ospf,0.0007335526392467983,0.010348033409041635
service_ctf,0.0,0.0
service_daytime,0.0,0.0
service_dhcp,0.0,0.0
service_discard,0.0,0.0
service_domain,0.0,0.0
proto_uti,0.0,0.0
service_echo,0.0,0.0
service_eco_i,0.0,0.0
service_efs,0.0,0.0
service_exec,0.0,0.0
service_finger,0.0,0.0
proto_ttp,0.0,0.0
service_csnet_ns,0.0,0.0
proto_xnet,0.0,0.0
proto_xns-idp,0.0,0.0
proto_trunk-2,0.0,0.0
proto_xtp,0.0,0.0
proto_zero,0.0,0.0
proto_wsn,0.0,0.0
service_IRC,0.0,0.0
service_X11,0.0,0.0
proto_wb-mon,0.0,0.0
proto_vines,0.0,0.0
proto_vrrp,0.0,0.0
service_Z39_50,0.0,0.0
